aX,aY,aZ,gX,gY,gZ,target
-845,-159,-9548,6,0,-3,0
-854,-162,-9530,6,3,-4,0
-842,-156,-9532,4,2,-3,0
-828,-167,-9555,5,2,-3,0
-823,-161,-9549,2,2,-2,0
-821,-141,-9548,0,2,-3,0
-817,-171,-9549,7,3,-4,0
-796,-187,-9549,7,3,-3,0
-804,-185,-9562,3,2,-3,0
-792,-168,-9574,0,0,-3,0
-784,-169,-9555,3,1,-2,0
-804,-187,-9536,6,2,-3,0
-820,-156,-9530,2,0,-3,0
-829,-136,-9567,-1,0,-2,0
-845,-119,-9541,1,1,-3,0
-833,-143,-9532,6,3,-4,0
-836,-147,-9542,4,2,-2,0
-833,-141,-9544,3,2,-2,0
-818,-156,-9538,6,3,-3,0
-811,-181,-9555,7,3,-3,0
-820,-183,-9571,1,1,-2,0
-828,-164,-9549,1,1,-4,0
-808,-183,-9535,9,3,-4,0
-809,-165,-9567,6,2,-3,0
-818,-146,-9554,4,1,-3,0
-820,-148,-9538,8,2,-2,0
-832,-158,-9530,4,2,-3,0
-842,-147,-9561,2,2,-2,0
-835,-134,-9573,3,3,-2,0
-822,-162,-9530,4,2,-4,0
-805,-184,-9536,2,2,-3,0
-814,-160,-9560,0,0,-2,0
-820,-165,-9571,5,2,-3,0
-797,-175,-9561,5,3,-2,0
