t_s,media_mA,min_mA,max_mA,n
8.15,35.4076,24.1067,63.5016,2048
8.17,33.0546,23.7630,62.2941,2048
8.19,33.3471,24.0084,62.7535,2048
8.21,34.9929,23.7630,63.7899,2048
8.23,34.9176,23.8612,62.5811,2048
8.25,33.8365,23.9593,62.7535,2048
8.27,35.0452,23.9593,62.9259,2048
8.30,35.0345,24.0576,63.9630,2048
8.32,35.3824,24.1067,63.1561,2048
8.34,32.5524,23.9593,63.1561,2048
8.36,33.7882,23.8612,62.7535,2048
8.38,35.0635,24.0084,64.1939,2048
8.40,34.4546,24.0084,63.8475,2048
8.42,32.5254,23.7140,63.3864,2560
8.44,35.4011,24.1067,62.9259,1536
8.46,35.0881,23.9593,63.0410,2560
8.48,32.9107,23.9102,62.9835,2048
8.50,35.5211,24.2542,62.6385,2048
8.52,35.3416,23.8612,62.9835,2048
8.54,35.0809,24.2542,62.0073,2048
8.56,33.3800,23.9102,63.2712,2048
8.58,32.3648,23.9102,62.1793,1536
8.60,35.5325,23.9102,63.3864,2560
8.62,35.8608,24.0576,64.0207,2048
8.65,32.0448,23.9102,63.2136,2048
8.67,36.1970,24.1558,63.9630,2048
8.69,35.6985,23.9593,62.9835,2048
8.71,33.5153,24.0576,64.0207,2048
8.73,37.3570,23.9102,62.6960,2048
8.75,33.8580,24.1558,62.6385,2048
8.77,35.5961,24.0576,61.8354,2048
8.79,35.2728,24.2050,62.9259,2048
8.81,31.8321,23.4689,62.5237,2048
8.83,35.9234,24.3033,63.1561,2048
8.85,35.6752,24.1558,63.5016,2048
8.87,33.5159,24.1067,63.3288,2048
8.89,33.5997,23.8612,62.5237,2048
8.91,35.9756,23.7140,62.4088,2048
8.93,35.1255,24.1067,63.3864,2048
8.96,34.1444,24.0084,62.9259,2048
8.98,35.1912,23.9102,62.9835,2048
9.00,35.9073,23.9102,64.3095,2048
9.02,35.6038,24.2050,63.8475,2048
9.04,33.0486,23.7140,62.9835,2048
9.06,34.0644,23.3709,63.6745,2048
9.08,35.9090,24.1558,63.0985,2560
9.10,33.7401,24.2542,63.1561,2048
9.12,33.3180,23.4199,63.7899,2048
9.14,35.6463,24.1067,62.6385,2048
9.16,35.9575,23.7630,63.3864,2048
9.18,32.7174,23.8121,62.6385,2048
9.20,37.9551,24.3525,63.1561,2048
9.22,33.8137,24.1558,63.7322,2048
9.24,35.8338,23.9102,63.2712,2048
9.26,35.2386,24.0084,63.6169,2048
9.29,32.5530,23.8121,62.2941,2048
9.31,36.4178,24.3525,63.0410,2048
9.33,36.2078,23.7630,62.8684,1536
9.35,34.4918,23.7630,62.6385,2048
9.37,33.2922,24.0576,62.8684,2048
9.39,36.6397,24.2542,63.2136,2048
9.41,36.2764,24.5002,62.3514,2048
9.43,32.3425,23.5179,62.5811,2048
9.45,35.4408,24.2050,62.8110,2048
9.47,36.5459,24.1067,63.3288,2048
9.49,34.3584,24.1067,62.7535,2048
9.51,36.6947,24.0576,63.7899,2048
9.53,34.6023,23.9102,61.8927,2048
9.55,36.5309,24.3033,62.8110,2048
9.57,36.2992,23.9102,62.9835,2048
9.59,31.8623,24.2050,61.9500,2048
9.61,35.9867,24.1558,63.8475,2048
9.63,36.3489,24.4017,62.8684,2048
9.65,34.7514,23.9593,62.9259,2048
9.67,33.9021,24.1067,64.1939,2048
9.69,36.4992,24.4017,62.9835,2048
9.71,36.3335,24.0084,62.6960,2048
9.73,33.0296,23.9593,62.3514,2048
9.75,36.3091,24.1558,63.0410,2048
9.77,36.5149,23.3709,63.1561,2048
9.79,36.1823,24.1067,63.1561,2048
9.81,33.7612,23.5669,62.8684,2048
9.83,34.0583,24.1558,62.1793,2048
9.85,36.6160,23.9593,63.9052,2048
9.87,36.0210,24.0576,62.9259,2048
9.89,31.9244,23.5669,62.7535,2048
9.92,36.1663,23.8612,62.6385,2048
9.94,36.5358,24.4509,63.2136,2048
9.96,33.6110,24.1558,63.1561,2048
9.98,37.8140,24.3033,62.8684,2048
10.00,34.1288,24.1067,64.5407,2048
10.02,36.4126,23.9593,63.4440,1536
10.04,35.8275,23.7140,62.9835,2560
10.06,32.2632,23.4689,62.4662,2048
10.08,36.2719,23.7630,63.4440,2048
10.10,36.4921,23.9102,63.9052,2048
10.12,33.5453,23.7140,62.8684,2048
10.14,34.3369,24.1067,63.7322,2048
10.16,36.4823,24.2542,63.5016,2048
10.18,35.8494,24.1067,62.7535,2048
10.20,34.0856,23.4689,62.4088,2048
10.22,35.6980,23.6649,62.6960,2048
10.24,36.5099,23.9102,63.0985,2048
10.26,36.2950,24.4017,63.4440,2048
10.28,33.3988,23.1752,62.8110,2048
10.31,34.4152,24.0576,63.0985,2048
10.33,36.5946,24.2542,63.2136,2048
10.35,35.2515,24.3033,63.5016,2048
10.37,32.5658,23.8612,62.6385,2048
10.39,36.1430,24.2542,64.3095,2048
10.41,36.6976,24.3525,63.3288,2048
10.43,33.3288,23.8612,62.9259,2048
10.45,37.3303,23.8612,63.3864,2048
10.47,34.8893,24.3033,63.0985,2048
10.49,36.6113,24.0576,63.3864,2048
10.51,34.8558,24.2542,63.0410,2048
10.53,32.9989,24.2542,63.5016,2048
10.55,36.3064,24.4017,63.3288,2048
10.57,36.5069,24.1558,63.0410,2048
10.59,32.8828,23.9102,62.5811,2048
10.61,34.8686,24.1067,63.0985,2048
10.63,36.3925,24.1067,62.6960,2048
10.65,35.8999,24.2542,63.7899,2048
10.68,35.4407,24.2542,63.3288,2048
10.70,35.4699,23.9593,63.2136,2048
10.72,35.7780,24.4017,62.7535,2048
10.74,36.2616,23.9102,62.8684,2048
10.76,34.4376,24.1067,63.4440,2048
10.78,33.3852,23.8121,63.2712,2048
10.80,36.6471,24.1067,63.0410,2048
10.82,36.2689,24.1067,63.0985,2048
10.84,32.5340,23.7630,62.1793,2560
10.86,36.2637,24.1558,62.9259,2048
10.88,36.5350,23.9102,63.4440,2048
10.90,33.4171,24.1558,62.3514,2048
10.92,37.5743,23.9102,62.5811,2048
10.94,34.6554,24.2050,63.8475,2048
10.96,36.6061,24.3525,63.1561,2048
10.99,35.0313,24.1067,62.7535,2048
11.01,32.8632,23.7630,63.6169,2048
11.03,36.2588,24.1558,62.9259,2048
11.05,36.6185,24.5002,62.8684,2048
11.07,33.0610,23.8612,62.7535,2048
11.09,34.7813,24.0084,62.5237,2048
11.11,36.2528,24.3033,63.2712,2048
11.13,35.4019,24.2542,63.2136,2048
11.15,35.0258,24.0576,63.2136,2048
11.17,35.4862,24.2542,62.4662,2048
11.19,36.2882,24.0084,62.9835,2048
11.21,36.5257,24.0576,63.3864,2048
11.23,32.6637,23.7630,62.3514,2048
11.25,35.1492,24.4509,62.9835,2048
11.27,36.4651,24.4509,63.2136,2048
11.29,34.9084,24.1558,63.8475,2048
11.32,32.9375,23.5179,61.8354,2048
11.34,36.3287,24.2542,62.6385,2048
11.36,36.5210,23.7140,64.2517,2048
11.38,32.8659,24.2050,61.6635,2048
11.40,34.9950,24.1067,63.6169,2048
11.42,36.3203,24.1558,62.8110,2048
11.44,35.2159,23.8121,62.9835,2048
11.46,35.3733,23.6159,62.7535,2048
11.48,35.5340,23.8612,63.2712,2560
11.50,36.2031,23.5179,62.1793,1536
11.52,36.6422,23.7140,64.2517,2048
11.54,32.2798,23.5179,63.1561,2560
11.56,36.7616,24.5002,64.1362,1536
11.58,36.1675,24.1558,63.6169,2560
11.60,33.7447,24.0084,63.2136,2048
11.62,34.1568,23.5669,63.1561,2048
11.65,36.8819,24.1067,65.6796,2048
11.67,36.1704,24.0084,66.4354,2048
11.69,34.0818,24.1067,63.0410,2048
11.71,35.7102,24.0576,63.0985,2048
11.73,36.5796,24.2542,63.3288,2048
11.75,36.2723,24.2542,63.3864,2048
11.77,33.4341,23.9102,62.0073,2048
11.79,34.3978,23.9593,64.2517,2048
11.81,36.5498,23.6159,63.5016,2048
11.83,35.3090,24.3525,63.2136,2048
11.85,32.4654,23.8612,63.7899,2048
11.87,36.2304,24.2050,63.3864,2048
11.89,36.4977,24.4509,63.3864,2048
11.91,33.4388,23.6159,63.3288,2048
11.93,37.2955,24.0084,62.9259,2048
11.95,34.8847,23.3709,62.8110,2048
11.97,36.3453,24.0576,63.5592,2048
12.00,35.0919,24.4017,62.5811,2048
12.02,32.6881,23.9102,62.0073,2048
12.04,36.5034,24.1558,62.4088,2048
12.06,36.2457,24.1067,63.1561,2048
12.08,33.1353,23.6649,61.1487,2048
12.10,34.5972,24.0576,63.1561,2048
12.12,36.6122,24.0084,62.8684,2048
12.14,34.9837,24.3033,63.6745,2048
12.16,33.7099,23.9593,62.0073,1536
12.18,37.8904,24.0576,62.1793,2048
12.20,34.8519,24.3033,62.9259,2560
12.22,36.2823,24.0576,62.7535,1536
12.24,35.6061,24.0576,64.3095,2048
12.26,32.2001,23.5179,60.3497,2048
12.28,36.3968,24.0576,63.6745,2048
12.30,36.4173,24.4509,61.7781,2048
12.32,33.4906,24.1558,61.9500,2048
12.34,34.3730,24.1067,62.4088,2048
12.36,36.3525,24.2050,63.3864,2048
12.38,35.7525,23.8121,63.0410,2048
12.40,34.1260,24.1067,63.0985,2048
12.42,35.8393,24.1067,63.6745,2048
12.44,36.2348,23.5669,62.5237,2048
12.46,36.5905,24.2050,63.0410,2048
12.48,33.0344,23.8121,62.6385,2048
12.50,34.8064,23.1262,62.0646,2048
12.52,36.2265,24.3525,64.0207,2048
12.54,35.4344,24.0576,63.2136,2048
12.57,32.4499,23.8121,61.2059,2048
12.59,36.6130,24.5987,62.8684,2048
12.61,36.2520,23.7630,62.9259,2048
12.63,33.0119,23.6649,61.7781,2048
12.65,36.8820,24.2050,62.9835,2048
12.67,35.3897,24.1067,63.0985,2048
12.69,35.6628,23.5179,63.8475,2048
12.71,34.5776,23.7630,63.3864,2048
12.73,32.5652,23.8612,62.8110,2048
12.75,35.8799,23.0284,63.6169,2048
12.77,35.7133,23.8121,62.6385,2048
12.79,32.7951,23.7630,63.2136,2048
12.81,34.3389,23.5669,63.5016,2048
12.83,35.8192,23.4199,62.6960,2048
12.85,34.6744,24.0084,63.2712,2048
12.87,35.1341,23.3220,62.0646,2048
12.89,34.8209,23.4199,63.0410,2048
12.91,35.7751,24.0576,62.7535,2048
12.93,36.0025,23.7140,63.3864,2048
12.95,32.1277,24.0084,62.2367,2048
12.97,34.9922,23.5669,62.9835,2048
