ax,ay,az,gx,gy,gz,temp,hum,pres,class
488432.0,-187950.0,10011659.0,0.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
478854.0,-174782.0,10004476.0,0.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
488432.0,-177176.0,10016448.0,-532.0,-3195.0,-3195.0,20290000.0,56755000.0,100930000.0,0
514769.0,-183162.0,10008068.0,532.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
500403.0,-178373.0,9991308.0,532.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
509980.0,-179570.0,10010462.0,532.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
493220.0,-180767.0,10002082.0,532.0,-3195.0,-3728.0,20290000.0,56755000.0,100930000.0,0
499206.0,-164007.0,9998491.0,1065.0,-3195.0,-2663.0,20290000.0,56755000.0,100930000.0,0
486037.0,-147247.0,9982928.0,2130.0,-3195.0,-3195.0,20290000.0,56755000.0,100930000.0,0
502797.0,-172387.0,9993702.0,1597.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
494417.0,-171190.0,10016448.0,0.0,-5326.0,-2663.0,20290000.0,56755000.0,100930000.0,0
493220.0,-164007.0,9996096.0,-1065.0,-5859.0,-2663.0,20290000.0,56755000.0,100930000.0,0
499206.0,-172387.0,9993702.0,1597.0,-3728.0,-2130.0,20290000.0,56755000.0,100930000.0,0
495614.0,-177176.0,10003279.0,1597.0,-4793.0,-1597.0,20290000.0,56755000.0,100930000.0,0
483643.0,-181964.0,9997294.0,2130.0,-5859.0,-1597.0,20290000.0,56755000.0,100930000.0,0
488432.0,-169993.0,9993702.0,1065.0,-4793.0,-2663.0,20290000.0,56755000.0,100930000.0,0
494417.0,-171190.0,9997294.0,1065.0,-4261.0,-3728.0,20290000.0,56755000.0,100930000.0,0
486037.0,-169993.0,10016448.0,1065.0,-6391.0,-2663.0,20290000.0,56755000.0,100930000.0,0
499206.0,-165204.0,9978139.0,0.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
503994.0,-167599.0,9986519.0,0.0,-4793.0,-4261.0,20290000.0,56755000.0,100930000.0,0
495614.0,-164007.0,10000885.0,-532.0,-5326.0,-3195.0,20290000.0,56755000.0,100930000.0,0
508783.0,-187950.0,9997294.0,-1597.0,-5326.0,-3195.0,20290000.0,56755000.0,100930000.0,0
498009.0,-187950.0,10008068.0,-532.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
523149.0,-175979.0,9992505.0,0.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
495614.0,-166402.0,10000885.0,-1065.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
507586.0,-164007.0,10014054.0,-1065.0,-5326.0,-1597.0,20290000.0,56755000.0,100930000.0,0
489629.0,-177176.0,10010462.0,-532.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
489629.0,-166402.0,9998491.0,-532.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
501600.0,-160416.0,9998491.0,-2130.0,-4261.0,-3728.0,20290000.0,56755000.0,100930000.0,0
495614.0,-164007.0,9996096.0,-2130.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
487234.0,-166402.0,9991308.0,-1065.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
487234.0,-175979.0,9999688.0,-1065.0,-4793.0,-2130.0,20290000.0,56755000.0,100930000.0,0
486037.0,-175979.0,10014054.0,-532.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
503994.0,-177176.0,10021236.0,0.0,-5859.0,-3195.0,20290000.0,56755000.0,100930000.0,0
492023.0,-171190.0,10015251.0,-532.0,-3195.0,-2130.0,20290000.0,56755000.0,100930000.0,0
506389.0,-174782.0,10002082.0,-532.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
493220.0,-179570.0,10002082.0,-532.0,-5326.0,-1065.0,20290000.0,56755000.0,100930000.0,0
506389.0,-161613.0,10000885.0,-532.0,-4261.0,-3195.0,20290000.0,56755000.0,100930000.0,0
492023.0,-156824.0,10000885.0,-532.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
477657.0,-172387.0,10011659.0,-1065.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
498009.0,-184359.0,10010462.0,-1065.0,-3728.0,-4261.0,20290000.0,56755000.0,100930000.0,0
495614.0,-172387.0,10008068.0,-1065.0,-4793.0,-4261.0,20290000.0,56755000.0,100930000.0,0
487234.0,-159219.0,10004476.0,-1065.0,-5859.0,-3728.0,20290000.0,56755000.0,100930000.0,0
499206.0,-161613.0,10005674.0,-532.0,-5859.0,-2130.0,20290000.0,56755000.0,100930000.0,0
501600.0,-183162.0,9994899.0,0.0,-5326.0,-3728.0,20290000.0,56755000.0,100930000.0,0
493220.0,-171190.0,10016448.0,1597.0,-5859.0,-4793.0,20290000.0,56755000.0,100930000.0,0
492023.0,-183162.0,10006871.0,0.0,-5859.0,-2663.0,20290000.0,56755000.0,100930000.0,0
503994.0,-183162.0,10005674.0,-1065.0,-5859.0,-2663.0,20290000.0,56755000.0,100930000.0,0
511177.0,-156824.0,10003279.0,0.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
490826.0,-159219.0,10000885.0,0.0,-4261.0,-3728.0,20290000.0,56755000.0,100930000.0,0
502797.0,-179570.0,9997294.0,0.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
507586.0,-165204.0,9976942.0,-532.0,-5326.0,-3195.0,20290000.0,56755000.0,100930000.0,0
481249.0,-156824.0,9988914.0,-1597.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
505191.0,-177176.0,10015251.0,-1597.0,-3728.0,-3728.0,20290000.0,56755000.0,100930000.0,0
498009.0,-179570.0,10015251.0,-1065.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
492023.0,-180767.0,9998491.0,0.0,-4261.0,-3195.0,20290000.0,56755000.0,100930000.0,0
489629.0,-167599.0,10005674.0,0.0,-3195.0,-1597.0,20290000.0,56755000.0,100930000.0,0
488432.0,-160416.0,10004476.0,-532.0,-5859.0,-3195.0,20280000.0,56763000.0,100930000.0,0
498009.0,-159219.0,10004476.0,532.0,-5326.0,-3195.0,20280000.0,56763000.0,100930000.0,0
503994.0,-177176.0,10014054.0,0.0,-3728.0,-3728.0,20280000.0,56763000.0,100930000.0,0
493220.0,-167599.0,10008068.0,-1065.0,-4261.0,-2130.0,20280000.0,56763000.0,100930000.0,0
502797.0,-168796.0,10006871.0,532.0,-4793.0,-1065.0,20280000.0,56763000.0,100930000.0,0
489629.0,-173584.0,10005674.0,-532.0,-5326.0,-1065.0,20280000.0,56763000.0,100930000.0,0
493220.0,-187950.0,9997294.0,-532.0,-4793.0,-4261.0,20280000.0,56763000.0,100930000.0,0
492023.0,-165204.0,10021236.0,1597.0,-4793.0,-3195.0,20280000.0,56763000.0,100930000.0,0
490826.0,-158022.0,10010462.0,-1065.0,-3728.0,-2663.0,20280000.0,56763000.0,100930000.0,0
506389.0,-174782.0,10012856.0,-1065.0,-3728.0,-3195.0,20280000.0,56763000.0,100930000.0,0
500403.0,-179570.0,10008068.0,-532.0,-4261.0,-3195.0,20280000.0,56763000.0,100930000.0,0
470474.0,-183162.0,10006871.0,-1597.0,-4261.0,-2130.0,20280000.0,56763000.0,100930000.0,0
500403.0,-171190.0,10006871.0,-532.0,-5326.0,-2663.0,20280000.0,56763000.0,100930000.0,0
475263.0,-181964.0,9997294.0,-1597.0,-3728.0,-4261.0,20280000.0,56763000.0,100930000.0,0
489629.0,-172387.0,10006871.0,-1065.0,-4793.0,-2663.0,20280000.0,56763000.0,100930000.0,0
498009.0,-168796.0,10002082.0,0.0,-4793.0,-3195.0,20280000.0,56763000.0,100930000.0,0
498009.0,-168796.0,10005674.0,0.0,-4793.0,-3195.0,20280000.0,56763000.0,100930000.0,0
495614.0,-173584.0,10018842.0,-532.0,-5326.0,-3195.0,20280000.0,56763000.0,100930000.0,0
498009.0,-181964.0,10021236.0,0.0,-3728.0,-1597.0,20280000.0,56763000.0,100930000.0,0
508783.0,-174782.0,10003279.0,0.0,-3728.0,-2130.0,20280000.0,56763000.0,100930000.0,0
508783.0,-179570.0,9998491.0,-1065.0,-4261.0,-2130.0,20280000.0,56763000.0,100930000.0,0
492023.0,-179570.0,9998491.0,-1065.0,-3728.0,-3728.0,20280000.0,56763000.0,100930000.0,0
487234.0,-160416.0,9990111.0,-532.0,-4261.0,-3195.0,20280000.0,56763000.0,100930000.0,0
477657.0,-168796.0,10008068.0,-532.0,-5326.0,-2130.0,20280000.0,56763000.0,100930000.0,0
494417.0,-178373.0,10003279.0,-1065.0,-3728.0,-3195.0,20280000.0,56763000.0,100930000.0,0
494417.0,-169993.0,10000885.0,-532.0,-4793.0,-4261.0,20280000.0,56763000.0,100930000.0,0
495614.0,-168796.0,9997294.0,-532.0,-3728.0,-2663.0,20280000.0,56763000.0,100930000.0,0
499206.0,-175979.0,10010462.0,1065.0,-3195.0,-2663.0,20280000.0,56763000.0,100930000.0,0
499206.0,-155627.0,10002082.0,-1065.0,-4261.0,-2663.0,20280000.0,56763000.0,100930000.0,0
494417.0,-171190.0,9992505.0,-1597.0,-4261.0,-2130.0,20280000.0,56763000.0,100930000.0,0
487234.0,-180767.0,9991308.0,-532.0,-4793.0,-2663.0,20280000.0,56763000.0,100930000.0,0
487234.0,-177176.0,9994899.0,-1065.0,-4793.0,-2663.0,20280000.0,56763000.0,100930000.0,0
503994.0,-172387.0,9994899.0,532.0,-4793.0,-3728.0,20280000.0,56763000.0,100930000.0,0
492023.0,-167599.0,10008068.0,0.0,-5859.0,-4793.0,20280000.0,56763000.0,100930000.0,0
472869.0,-160416.0,10010462.0,-1065.0,-5326.0,-3195.0,20280000.0,56763000.0,100930000.0,0
494417.0,-172387.0,10005674.0,0.0,-4261.0,-3195.0,20280000.0,56763000.0,100930000.0,0
489629.0,-174782.0,9990111.0,-532.0,-4793.0,-2130.0,20280000.0,56763000.0,100930000.0,0
486037.0,-165204.0,10010462.0,-1065.0,-3195.0,-1597.0,20280000.0,56763000.0,100930000.0,0
484840.0,-166402.0,10008068.0,-2130.0,-3195.0,-2130.0,20280000.0,56763000.0,100930000.0,0
494417.0,-168796.0,9999688.0,-2130.0,-3728.0,-2663.0,20280000.0,56763000.0,100930000.0,0
502797.0,-168796.0,10009265.0,-2663.0,-4793.0,-3195.0,20280000.0,56763000.0,100930000.0,0
498009.0,-168796.0,9996096.0,-1065.0,-4261.0,-2130.0,20280000.0,56763000.0,100930000.0,0
496812.0,-164007.0,10005674.0,-532.0,-4793.0,-2663.0,20280000.0,56763000.0,100930000.0,0
494417.0,-165204.0,10011659.0,-532.0,-4261.0,-1597.0,20280000.0,56763000.0,100930000.0,0
494417.0,-165204.0,10011659.0,-532.0,-4261.0,-1597.0,20280000.0,56763000.0,100930000.0,0
490826.0,-177176.0,10012856.0,532.0,-4261.0,-1597.0,20280000.0,56763000.0,100930000.0,0
498009.0,-168796.0,9992505.0,0.0,-5326.0,-3195.0,20280000.0,56763000.0,100930000.0,0
478854.0,-172387.0,9998491.0,-1065.0,-3728.0,-3728.0,20280000.0,56763000.0,100930000.0,0
496812.0,-177176.0,10002082.0,-1065.0,-4793.0,-2663.0,20280000.0,56763000.0,100930000.0,0
508783.0,-172387.0,10011659.0,-1065.0,-5859.0,-2130.0,20280000.0,56763000.0,100930000.0,0
486037.0,-174782.0,10006871.0,0.0,-4261.0,-3728.0,20280000.0,56763000.0,100930000.0,0
483643.0,-167599.0,10009265.0,0.0,-4261.0,-2663.0,20280000.0,56763000.0,100930000.0,0
486037.0,-165204.0,10017645.0,0.0,-5326.0,-3728.0,20280000.0,56763000.0,100930000.0,0
487234.0,-177176.0,10008068.0,-1065.0,-5326.0,-3195.0,20280000.0,56763000.0,100930000.0,0
492023.0,-168796.0,10006871.0,-1065.0,-5859.0,-1597.0,20280000.0,56763000.0,100930000.0,0
495614.0,-180767.0,10006871.0,0.0,-4261.0,-1065.0,20280000.0,56763000.0,100930000.0,0
495614.0,-169993.0,9998491.0,0.0,-4261.0,-2663.0,20280000.0,56763000.0,100930000.0,0
