acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
5737,-2332,6614,-77,290,-254,3
5812,-2408,6310,-200,379,-417,3
5936,-2267,5996,-254,546,-586,3
6129,-1887,5688,-66,781,-637,3
6216,-2390,5418,325,1049,-676,3
6183,-3170,5175,742,1295,-878,3
6118,-3991,4856,1061,1524,-1343,3
6083,-4711,4835,1172,1834,-2199,3
5842,-4624,5345,1156,2259,-3457,3
5457,-4268,5979,1292,2869,-4849,3
4920,-4191,6270,1814,3827,-6299,3
3002,-1753,7049,2419,5076,-7535,3
979,1729,9289,3037,6045,-7528,3
-281,4750,11526,3832,6475,-6530,3
-1708,6508,13410,4283,6326,-5211,3
-3723,6749,14800,4447,5883,-3978,3
-6634,6547,16333,4377,5485,-3091,3
-9794,9082,19813,4429,5257,-2277,3
-13519,14083,25248,4524,4581,-1057,3
-16702,16545,29140,4945,3086,385,3
-17031,15835,29570,5284,826,1864,3
-16179,13823,27208,5289,-1815,3275,3
-15382,13283,22947,5643,-4004,4593,3
-14891,13798,16947,6236,-5420,5876,3
-15577,14534,12194,5533,-6735,7365,3
-15249,14241,10336,4309,-8015,10507,3
-17528,15058,8297,5592,-8058,15410,3
-26307,14796,7193,7280,-7360,17453,3
31553,4155,8923,7158,-7009,17453,3
-30669,-7149,5955,6299,-5922,17453,3
-24027,-13607,-4978,5537,-3021,17453,3
-5091,31977,-11351,4118,926,17453,3
3020,26309,-6944,3639,3892,17453,3
-11816,-6939,-3448,-1379,-703,4226,3
-11816,-6939,-3448,-1379,-703,4226,3
-7750,-13848,-2474,872,629,4532,3
-7151,-16853,-1326,1517,879,2899,3
-7532,-16496,99,1220,866,1036,3
-6387,-16072,1668,713,1172,-781,3
-4338,-14057,2280,143,1431,-2410,3
-2111,-11569,2707,-908,1350,-3667,3
-357,-8605,2531,-1539,1255,-4446,3
1715,-6144,3348,-332,721,-5200,3
1715,-6144,3348,-332,721,-5200,3
2032,-6091,3154,115,606,-5223,3
2402,-6806,2923,332,544,-5361,3
3146,-8148,2576,221,583,-6027,3
3766,-8505,2156,-187,753,-7139,3
3770,-7592,2068,-870,1089,-8372,3
3617,-7063,2418,-2032,1542,-9677,3
3832,-7901,2785,-3705,2004,-11443,3
3809,-7853,2773,-5576,2582,-13535,3
1727,-6718,2261,-7395,3444,-15028,3
1885,-3029,2870,-8538,4793,-16481,3
-295,2039,3028,-9856,5250,-14864,3
