acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
373,-251,9753,-13,3,11,0
353,-306,9783,-24,4,-3,0
338,-312,9806,-15,4,-4,0
348,-265,9778,1,3,-6,0
348,-216,9757,3,-1,-4,0
350,-247,9772,3,0,0,0
355,-262,9796,5,0,2,0
345,-208,9786,10,-4,4,0
344,-217,9777,12,-6,10,0
312,-300,9788,-6,-9,5,0
329,-326,9798,-18,-10,1,0
339,-325,9793,0,-7,-5,0
368,-258,9754,9,-9,-11,0
367,-222,9739,0,-10,-15,0
381,-215,9714,10,-10,-13,0
424,-162,9677,17,-9,-4,0
414,-154,9676,16,-4,3,0
387,-215,9675,22,-5,6,0
375,-250,9668,16,-2,1,0
385,-228,9672,0,2,-4,0
383,-221,9692,-8,4,-2,0
368,-272,9706,0,6,1,0
375,-301,9738,5,9,-4,0
332,-251,9748,15,13,-11,0
307,-186,9791,20,13,-17,0
359,-168,9842,1,10,-5,0
354,-175,9853,2,9,2,0
351,-165,9883,10,7,4,0
300,-184,9878,-1,2,12,0
300,-282,9868,1,-3,13,0
324,-281,9848,21,-8,7,0
339,-191,9804,15,-12,3,0
339,-191,9804,15,-12,3,0
361,-150,9750,1,-15,3,0
359,-191,9732,1,-11,10,0
347,-252,9731,-5,-9,13,0
357,-341,9687,-9,-11,13,0
375,-374,9664,5,-8,3,0
398,-275,9689,13,-3,0,0
386,-211,9707,9,0,0,0
372,-207,9719,8,3,0,0
357,-232,9731,9,8,3,0
361,-258,9756,4,9,1,0
360,-244,9754,5,7,-3,0
328,-214,9754,10,9,-10,0
323,-171,9792,10,7,-3,0
311,-233,9812,9,4,2,0
306,-256,9802,11,3,5,0
295,-256,9852,13,0,2,0
274,-266,9885,11,-2,6,0
278,-335,9889,13,-7,2,0
282,-353,9901,16,-11,-12,0
269,-353,9941,13,-15,-19,0
269,-422,9954,15,-21,-28,0
253,-459,9903,19,-31,-31,0
294,-523,9839,22,-39,-37,0
319,-481,9812,34,-40,-43,0
384,-373,9756,49,-41,-47,0
387,-308,9674,45,-42,-46,0
405,-317,9617,41,-36,-52,0
438,-234,9583,43,-29,-57,0
442,-116,9577,39,-25,-54,0
436,-118,9562,27,-16,-63,0
430,-79,9574,19,-10,-62,0
460,11,9592,29,-3,-67,0
480,114,9603,30,1,-60,0
488,175,9617,20,3,-46,0
